VMV_CODE,VARIABLE_CODE,VARIABLE,VARIABLE_FR,VARIABLE_TYPE,VARIABLE_TYPE_FR,UNIT_UNITÉ,UNIT_NAME,UNITÉ_NOM,METHOD_CODE,METHOD_TITLE,MÉTHODE_TITRE
"100184","588","MANGANESE DISSOLVED","MANGANÈSE DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100185","593","MOLYBDENUM DISSOLVED","MOLYBDÈNE DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100186","607","NICKEL DISSOLVED","NICKEL DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100187","678","LEAD DISSOLVED","PLOMB DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100188","819","STRONTIUM DISSOLVED","STRONTIUM DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100189","876","VANADIUM DISSOLVED","VANADIUM DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100190","887","ZINC DISSOLVED","ZINC DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100191","404","CALCIUM DISSOLVED","CALCIUM DISSOUS","MAJOR IONS","IONS MAJEURS","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100192","581","MAGNESIUM DISSOLVED","MAGNÉSIUM DISSOUS","MAJOR IONS","IONS MAJEURS","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100193","600","SODIUM DISSOLVED/FILTERED","SODIUM DISSOUS/FILTRÉ","MAJOR IONS","IONS MAJEURS","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
